ID,Name,Concepticon_ID,Concepticon_Gloss,Indonesian_Gloss
138_afraid,afraid,,,takut
139_ashamed,ashamed,,,malu
140_bathe,bathe,,,mandi
141_blow,blow,,,tiup
142_breathe,breathe,,,bernapas
143_come,come,,,datang
144_cough,cough,,,batuk
145_count,count,,,hitung
146_cry,cry,,,menangis
147_cutgrass,cut (grass),,,membabat
148_die,die,,,mati
149_dig,dig,,,gali
150_dream,dream,,,mimpi
151_drink,drink,,,minum
152_eat,eat,,,makan
153_fall,fall,,,jatuh
154_flowriver,flow (river),,,mengalir
155_flybird,fly (bird),,,terbang
156_give,give,,,memberi
157_hear,hear,,,dengar
158_hit,hit,,,pukul
159_hold,hold,,,pegang
160_kill,kill,,,bunuh
161_know,know,,,tahu
162_live,live,,,hidup
163_play,play,,,bermain
164_pull,pull,,,menarik
165_push,push,,,mendorong
166_rub,rub,,,menggosok
167_see,see,,,lihat
168_seek,seek,,,cari
169_scratch,scratch,,,garuk
170_shootpig,shoot (pig),,,memanah
171_sing,sing,,,menyanyi
172_sit,sit,,,duduk
173_sleep,sleep,,,tidur
174_speak,speak,,,bicara
175_spit,spit,,,meludah
176_splitwood,split (wood),,,membelah
177_stab,stab,,,tikam
178_stand,stand,,,berdiri
179_stink,stink,,,berbau
180_suck,suck,,,isap
181_throwstone,throw (stone),,,melempar
182_tierope,tie (rope),,,mengikat
183_vomit,vomit,,,muntah
184_walk,walk,,,berjalan
185_washclothes,wash (clothes),,,mencuci
186_what,what,,,apa
187_who,who,,,siapa
188_at,at,,,di
189_far,far,,,jauh
190_infront,in front,,,di depan
191_inside,inside,,,di dalam
192_leftside,left side,,,kiri
193_near,near,,,dekat
194_outside,outside,,,di luar
195_rightside,right side,,,kanan
